column,missing_count,missing_pct,dtype
owner_count,1517013,50.57,float32
fleet,1426595,47.55,boolean
frame_damaged,1426595,47.55,boolean
theft_title,1426595,47.55,category
salvage,1426595,47.55,category
has_accidents,1426595,47.55,boolean
torque,517793,17.26,category
city_fuel_economy,491285,16.38,float32
highway_fuel_economy,491285,16.38,float32
power,481426,16.05,category
interior_color,383986,12.8,category
major_options,200048,6.67,category
engine_displacement,172386,5.75,float32
horsepower,172386,5.75,float32
wheelbase,159269,5.31,category
maximum_seating,159269,5.31,category
back_legroom,159269,5.31,category
length,159269,5.31,category
height,159269,5.31,category
fuel_tank_volume,159269,5.31,category
front_legroom,159269,5.31,category
width,159269,5.31,category
wheel_system,146732,4.89,category
mileage,144387,4.81,float32
trim_name,116294,3.88,category
engine_type,100581,3.35,category
fuel_type,82724,2.76,category
transmission,64185,2.14,category
exterior_color,49955,1.67,category
seller_rating,40872,1.36,float32
body_type,13543,0.45,category
