iteration,loss,gradient_norm,learning_rate
0,18.91708942747697,17.224819231242176,1.25
1,8.383638116945075,5.06895091443577,0.15625
2,5.824447965578876,8.36899715948764,1.25
3,3.6646463677645573,3.8237701472098373,0.3125
4,0.32788796278618587,1.5509883802047861,0.625
5,0.057061892448188885,0.759356119489092,0.3125
6,0.03713904259421377,0.47193037934278437,0.625
7,0.0236586751767124,0.2805663458553962,0.625
8,0.015431412845402413,0.15336304105833418,0.625
9,0.01399901499735943,0.09518398021197395,1.25
10,0.013233033414669798,0.04736283480435688,1.25
11,0.01282758023966245,0.039710205125632204,1.25
12,0.012591176869898045,0.01768233500919214,1.25
13,0.012454592505032907,0.02312100397559318,1.25
14,0.012282796042289646,0.02992120146579861,2.5
15,0.012173180896176418,0.01084580205626092,1.25
16,0.012135672226591582,0.009555001890689868,1.25
17,0.012088374446785493,0.0121309499993905,2.5
18,0.012045911990751165,0.006944731558059068,2.5
19,0.012036258377461865,0.008609827522564874,2.5
20,0.012024563956137036,0.011251987251896295,2.5
21,0.012010056161219633,0.012609346555346207,2.5
22,0.011967412741155472,0.002679061752723048,1.25
23,0.011954551026856617,0.007581172098976227,5.0
24,0.011935787487111849,0.0025268057060538886,1.25
25,0.011934370761634477,0.0031820158944029743,2.5
26,0.01193149543358393,0.0007134505518127343,1.25
27,0.011931027647682193,0.0016004651382057495,5.0
28,0.011929994934613858,0.0005828753868153779,1.25
29,0.011929399230947551,0.0012047830756505482,5.0
30,0.011928850751999466,0.001066290807486992,2.5
31,0.011928533342513988,0.0011342578909298636,2.5
32,0.011928203591232136,0.0011402300778021318,2.5
33,0.011927899953046713,0.0011941103064379633,2.5
34,0.011927356145894021,0.00026839032394522473,1.25
35,0.01192693836090971,0.0005802098008974911,5.0
36,0.011926750434690306,0.0005041923045612264,2.5
37,0.01192652702907169,0.000340562472297312,2.5
38,0.011926398512621925,0.0005709354343258707,5.0
39,0.01192620030333363,0.00019191548802028157,1.25
40,0.0119260695950357,0.0002869213335370933,5.0
41,0.011926013107293312,0.0003850810045983929,2.5
42,0.011925948709719024,0.00029418937596625665,2.5
43,0.011925906991048611,0.0002899776401480655,2.5
44,0.011925865048530463,8.916713442451653e-05,1.25
45,0.011925828764355984,0.00014872765635044505,5.0
46,0.011925787091222563,0.0002101890489017948,5.0
47,0.011925765119383393,0.00017318498285642236,2.5
48,0.011925740063805165,0.00013659113745648056,2.5
49,0.01192570904522398,0.00021882376744582874,5.0
50,0.011925687529928152,0.00018959748887830062,2.5
51,0.011925663853880135,0.0001674582571334901,2.5
52,0.011925634222122257,0.0001264836639225082,2.5
53,0.01192561680131662,0.00019997224993150957,5.0
54,0.011925590563013459,7.876251768974315e-05,1.25
55,0.011925547375115737,0.0002055995791019967,10.0
56,0.011925529562963541,0.000312935470332515,5.0
57,0.01192545051015567,0.0002596302928685747,2.5
58,0.011925311031302186,0.0002325140395263493,2.5
59,0.011925168618687292,0.00044749311495907723,10.0
60,0.011924891590577658,0.0001585494611075115,1.25
61,0.011924824224432064,0.00016805146225102246,2.5
62,0.011924766910147919,0.00027348324642377416,5.0
63,0.011924705201155055,0.00012098924481031052,1.25
64,0.01192464660547725,0.0001592621362444828,5.0
65,0.011924624744369198,0.00013998885510069743,2.5
66,0.011924607687589467,0.00014875749859969312,2.5
67,0.01192459768786211,0.00014069989491327265,2.5
68,0.011924583651091513,3.699876442075568e-05,1.25
69,0.011924580351253619,1.793246773761248e-05,2.5
70,0.011924580089739595,1.339428010083402e-05,2.5
71,0.011924579997263129,3.244720802490093e-06,1.25
