iteration,loss,gradient_norm
0,0.01321596735561615,0.008731103519220292
100,0.012893055272976394,0.003577749953623969
200,0.012819190295009043,0.002056937324151089
300,0.012790400971124688,0.001398403117831499
400,0.01277607604447243,0.0010190554481541414
500,0.012768250054320963,0.0007629208033986675
600,0.01276379947715266,0.0005797212741104902
700,0.012761199059896516,0.00044618193025221383
800,0.012759639561110682,0.0003480587473824839
900,0.012758677630796382,0.0002755319724059579
1000,0.012758065947681573,0.00022156301247280434
1100,0.012757664372580501,0.00018104944935464363
1200,0.01275739216196877,0.00015028740850840633
1300,0.012757201903380314,0.0001265971775901041
1400,0.01275706514668253,0.00010805117966256148
1500,0.012756964399323742,9.327157334079882e-05
1600,0.012756888615246731,8.127830256232891e-05
1700,0.012756830619180315,7.137559749469387e-05
1800,0.012756785613771453,6.306846828220678e-05
1900,0.012756750299394165,5.6002450714521325e-05
2000,0.012756722345066052,4.992094784585837e-05
2100,0.012756700063517602,4.463549520759699e-05
2200,0.012756682206931002,4.000525633606929e-05
2300,0.01275666783532369,3.592296388120552e-05
2400,0.012756656229556433,3.230528941401743e-05
2500,0.012756646832357057,2.9086225521714112e-05
2600,0.012756639207341798,2.6212507004403185e-05
2700,0.012756633009875723,2.3640411978087655e-05
2800,0.012756627965908648,2.133349993892007e-05
2900,0.01275662385631024,1.9260990053162607e-05
3000,0.012756620505082058,1.7396580702057777e-05
3100,0.012756617770359847,1.5717576328171844e-05
3200,0.0127566155374621,1.4204230821807834e-05
3300,0.0127566137134648,1.2839245444446136e-05
3400,0.012756612222931209,1.1607378527110758e-05
3500,0.012756611004527223,1.0495137142420401e-05
3600,0.012756610008323042,9.490529751362532e-06
