iteration,step_size
0,1.0
1,0.125
2,0.125
3,0.125
4,0.25
5,0.25
6,0.125
7,0.5
8,0.125
9,0.5
10,0.125
11,0.5
12,0.125
13,0.5
14,0.125
15,0.5
16,0.125
17,1.0
18,0.125
19,0.25
20,0.25
21,0.25
22,0.125
23,1.0
24,0.125
25,0.25
26,0.25
27,0.125
28,1.0
29,0.125
30,0.5
31,0.125
32,0.5
33,0.125
34,1.0
35,0.125
36,0.5
37,0.125
38,0.5
39,0.125
40,1.0
41,0.125
42,0.25
43,0.25
44,0.25
45,0.125
46,1.0
47,0.125
48,0.25
49,0.25
50,0.25
51,0.125
52,1.0
53,0.125
54,0.25
55,0.25
56,0.25
57,0.125
58,1.0
59,0.125
60,0.5
61,0.125
62,0.5
63,0.125
64,1.0
65,0.125
66,0.5
67,0.125
68,0.5
69,0.125
70,1.0
71,0.125
72,0.5
73,0.125
74,0.5
75,0.125
76,1.0
77,0.125
78,0.5
79,0.125
80,0.5
81,0.125
82,1.0
83,0.125
84,0.5
85,0.125
86,0.5
87,0.125
88,1.0
89,0.125
90,0.5
91,0.125
92,0.5
93,0.125
94,1.0
95,0.125
96,0.5
97,0.125
98,1.0
99,0.125
100,0.25
101,0.25
102,0.25
103,0.125
104,1.0
105,0.125
106,0.5
107,0.125
108,0.5
109,0.125
110,1.0
111,0.125
112,0.5
113,0.125
114,0.5
115,0.125
116,1.0
117,0.125
118,0.5
119,0.125
120,1.0
121,0.125
122,0.5
123,0.125
124,0.5
125,0.125
126,1.0
127,0.125
128,0.5
129,0.125
130,0.5
131,0.125
132,1.0
133,0.125
134,0.5
135,0.125
136,0.5
137,0.125
138,1.0
139,0.125
140,0.5
141,0.125
142,1.0
143,0.125
144,0.5
145,0.125
146,0.5
147,0.125
148,1.0
149,0.125
150,0.5
151,0.125
152,0.5
153,0.125
154,1.0
155,0.125
156,0.5
157,0.125
158,1.0
159,0.125
160,0.25
161,0.25
162,0.25
163,0.125
164,1.0
165,0.125
166,0.5
167,0.125
168,0.5
169,0.125
170,1.0
171,0.125
172,0.5
173,0.125
174,1.0
175,0.125
176,0.25
177,0.25
178,0.25
179,0.125
180,1.0
181,0.125
182,0.5
183,0.125
184,0.5
185,0.125
186,1.0
187,0.125
188,0.5
189,0.125
190,0.5
191,0.125
192,1.0
193,0.125
194,0.5
195,0.125
196,1.0
197,0.125
198,0.5
199,0.125
200,0.5
201,0.125
202,1.0
203,0.125
204,0.5
205,0.125
206,0.5
207,0.125
208,1.0
209,0.125
210,0.5
211,0.125
212,1.0
213,0.125
214,0.25
215,0.25
216,0.25
217,0.125
218,1.0
219,0.125
220,0.5
221,0.125
222,0.5
223,0.125
224,1.0
225,0.125
226,0.5
227,0.125
228,1.0
229,0.125
230,0.25
231,0.25
232,0.25
233,0.125
234,1.0
235,0.125
236,0.5
237,0.125
238,0.5
239,0.125
240,1.0
241,0.125
242,0.5
243,0.125
244,1.0
245,0.125
246,0.25
247,0.25
248,0.25
249,0.125
250,1.0
251,0.125
252,0.5
253,0.125
254,0.5
255,0.125
256,1.0
257,0.125
258,0.5
259,0.125
260,0.5
261,0.125
262,1.0
263,0.125
264,0.5
265,0.125
266,1.0
267,0.125
268,0.5
269,0.125
270,0.5
271,0.125
272,1.0
273,0.125
274,0.5
275,0.125
276,0.5
277,0.125
278,1.0
279,0.125
280,0.5
281,0.125
282,1.0
283,0.125
284,0.5
285,0.125
286,0.5
287,0.125
288,1.0
289,0.125
290,0.5
291,0.125
292,0.5
293,0.125
294,1.0
295,0.125
296,0.5
297,0.125
298,1.0
299,0.125
300,0.25
301,0.25
302,0.25
303,0.125
304,1.0
305,0.125
306,0.5
307,0.125
308,0.5
309,0.125
310,1.0
311,0.125
312,0.5
313,0.125
314,1.0
315,0.125
316,0.25
317,0.25
318,0.25
319,0.125
320,1.0
321,0.125
322,0.5
323,0.125
324,0.5
325,0.125
326,1.0
327,0.125
328,0.5
329,0.125
330,1.0
331,0.125
332,0.25
333,0.25
334,0.25
335,0.125
336,1.0
337,0.125
338,0.5
339,0.125
340,0.5
341,0.125
342,1.0
343,0.125
344,0.5
345,0.125
346,1.0
347,0.125
348,0.25
349,0.25
350,0.25
351,0.125
352,1.0
353,0.125
354,0.5
355,0.125
356,0.5
357,0.125
358,1.0
359,0.125
360,0.5
361,0.125
362,1.0
363,0.125
364,0.25
365,0.25
366,0.25
367,0.125
368,1.0
369,0.125
370,0.5
371,0.125
372,0.5
373,0.125
374,1.0
375,0.125
376,0.5
377,0.125
