iteration,loss,gradient_norm,velocity_norm
0,0.012643328051543341,0.049867069747090806,0.12069473221291624
100,0.011925511023891437,0.00014252399311721062,0.0013142490488380356
200,0.011925153373605208,3.7266087688186294e-05,0.00039348756820792964
300,0.011925054363852728,2.7068490579556164e-05,0.00027512046467680285
400,0.011924988969547672,2.4204134326698907e-05,0.00024392337632723866
500,0.011924934418991739,2.2423370153133996e-05,0.00022571736460217788
600,0.011924887339527065,2.0868668640911137e-05,0.00021003750816189025
700,0.011924846534213685,1.943268740547845e-05,0.0001955813236452
800,0.011924811148381564,1.8096763445271673e-05,0.00018213545526368677
900,0.01192478046028409,1.685282136663099e-05,0.00016961571590524497
1000,0.011924753846052776,1.5694402046770648e-05,0.00015795676554840958
1100,0.011924730764856891,1.4615611319697839e-05,0.00014709924434350884
1200,0.01192471074768413,1.3610973958514379e-05,0.00013698804239652832
1300,0.011924693387785911,1.267539266048305e-05,0.00012757185726437707
1400,0.01192467833240971,1.180412067677134e-05,0.00011880291509961722
1500,0.011924665275630807,1.0992737557563371e-05,0.00011063672615041213
1600,0.011924653952135933,1.0237126705058182e-05,0.00010303185879800867
1700,0.011924644131832082,9.533454485445114e-06,9.594972932358819e-05
