iteration,loss,gradient_norm
0,0.013164630652979523,0.008642587528336961
100,0.012864049827524458,0.0033228793365955387
200,0.012802596029709026,0.001833830034496475
300,0.012780290884731307,0.0012141459152033105
400,0.012769672422633403,0.0008692569985375531
500,0.012764060582195444,0.0006404350973746659
600,0.012760973774490003,0.0004781068071188696
700,0.01275923761265488,0.0003604492130321279
800,0.01275824166715818,0.0002745354307562006
900,0.01275765774777717,0.00021157750484498584
1000,0.01275730660200724,0.0001653035256038326
1100,0.012757089195325632,0.0001311596667369227
1200,0.01275695018102231,0.00010581812135717558
1300,0.012756858219371458,8.684441140411439e-05
1400,0.012756795284463746,7.246361709771124e-05
1500,0.01275675081148497,6.139120093786155e-05
1600,0.012756718468877597,5.270674975836803e-05
1700,0.012756694362869424,4.575750956829068e-05
1800,0.012756676028722819,4.00842813834089e-05
1900,0.012756661857212399,3.5365262402953395e-05
2000,0.012756650763883716,3.1374550309022176e-05
2100,0.012756641995065253,2.795234289331669e-05
2200,0.012756635011803828,2.498408060821732e-05
2300,0.012756629418813108,2.2386139002360517e-05
2400,0.012756624919847895,2.0096146928599718e-05
2500,0.012756621288887372,1.8066482630211803e-05
2600,0.012756618350982124,1.6259911481185916e-05
2700,0.012756615969152894,1.4646649942035535e-05
2800,0.012756614035179204,1.320237374696169e-05
2900,0.012756612462957685,1.1906850691345333e-05
3000,0.01275661118360513,1.0742987956079965e-05
3100,0.012756610141778275,9.696156434766818e-06
