iteration,loss,gradient_norm,velocity_norm
0,442175970747297.5,778067482.0889912,860860513.822827
10,1.222408137109269e+34,4.088005297616211e+18,4.521712622987558e+18
20,3.4292478934658557e+53,2.1651357652878334e+28,2.3948025951775733e+28
30,9.627938687898852e+72,1.1472323469357502e+38,1.268923936631704e+38
40,2.7032552081231093e+92,6.078944758690153e+47,6.723762770829587e+47
50,7.590001100078118e+111,3.221110245075035e+57,3.5627862975168225e+57
60,2.1310649553556704e+131,1.7068014896441734e+67,1.8878487528660175e+67
70,5.983448246348748e+150,9.043997612887746e+76,1.0003330626245155e+77
80,1.6799888169121732e+170,4.792232332592491e+86,5.300563590637356e+86
90,4.716949673182815e+189,2.5393074736215874e+96,2.808661977544432e+96
100,1.324390614710233e+209,1.3455279289655054e+106,1.4882534600741657e+106
110,3.718527060622905e+228,7.129681720048623e+115,7.885955587148511e+115
120,1.0440608191421087e+248,3.777874864944461e+125,4.178609167781129e+125
130,2.931437572717547e+267,2.0018198645593678e+135,2.2141609072107588e+135
140,8.230675919628096e+286,1.0607240613840174e+145,1.1732393067101889e+145
150,10000000000.0,10000000000.0,10000000000.0
160,10000000000.0,10000000000.0,10000000000.0
170,10000000000.0,10000000000.0,10000000000.0
180,10000000000.0,10000000000.0,10000000000.0
190,10000000000.0,10000000000.0,10000000000.0
200,10000000000.0,10000000000.0,10000000000.0
210,10000000000.0,10000000000.0,10000000000.0
220,10000000000.0,10000000000.0,10000000000.0
230,10000000000.0,10000000000.0,10000000000.0
240,10000000000.0,10000000000.0,10000000000.0
250,10000000000.0,10000000000.0,10000000000.0
260,10000000000.0,10000000000.0,10000000000.0
270,10000000000.0,10000000000.0,10000000000.0
280,10000000000.0,10000000000.0,10000000000.0
290,10000000000.0,10000000000.0,10000000000.0
300,10000000000.0,10000000000.0,10000000000.0
310,10000000000.0,33166247903.553997,10000000000.0
320,10000000000.0,0.0,10000000000.0
