iteration,loss,gradient_norm,velocity_norm
0,439961461272461.8,776114019.377479,858715228.02866
10,1.231851489399231e+34,4.1025657133392097e+18,4.5373930126023137e+18
20,3.5206384087227106e+53,2.1931189945970564e+28,2.4255113031741886e+28
30,1.0073512770685721e+73,1.1731149932982586e+38,1.2974216935325628e+38
40,2.882489795305716e+92,6.2752918490924055e+47,6.940239679385856e+47
50,8.248141786128334e+111,3.356820310357736e+57,3.712518554945021e+57
60,2.3601768157564046e+131,1.795652543396776e+67,1.9859250027935973e+67
70,6.753563171370281e+150,9.605423516776721e+76,1.0623241558797423e+77
80,1.932508413413424e+170,5.138196768912017e+86,5.682654737442293e+86
90,5.529805042564023e+189,2.7485582484107274e+96,3.0398033111476263e+96
100,1.582334317231142e+209,1.470276983283666e+106,1.6260717213011927e+106
110,4.527794148646239e+228,7.864903022607498e+115,8.698290554257367e+115
120,1.295612414473124e+248,4.207146017947731e+125,4.652947196310589e+125
130,3.7073494806268223e+267,2.2505144139037637e+135,2.4889853329925904e+135
140,1.0608450504152731e+287,1.2038600765416844e+145,1.331424520090064e+145
150,inf,inf,inf
160,inf,inf,inf
170,inf,inf,inf
180,inf,inf,inf
190,inf,inf,inf
200,inf,inf,inf
210,inf,inf,inf
220,inf,inf,inf
230,inf,inf,inf
240,inf,inf,inf
250,inf,inf,inf
260,inf,inf,inf
270,inf,inf,inf
280,inf,inf,inf
290,inf,inf,inf
300,inf,inf,inf
310,,,
320,,,
330,,,
340,,,
350,,,
360,,,
370,,,
380,,,
390,,,
400,,,
410,,,
420,,,
430,,,
440,,,
450,,,
460,,,
470,,,
480,,,
490,,,
500,,,
510,,,
520,,,
530,,,
540,,,
550,,,
560,,,
570,,,
580,,,
590,,,
600,,,
610,,,
620,,,
630,,,
640,,,
650,,,
660,,,
670,,,
680,,,
690,,,
700,,,
710,,,
720,,,
730,,,
740,,,
750,,,
760,,,
770,,,
780,,,
790,,,
800,,,
810,,,
820,,,
830,,,
840,,,
850,,,
860,,,
870,,,
880,,,
890,,,
900,,,
910,,,
920,,,
930,,,
940,,,
950,,,
960,,,
970,,,
980,,,
990,,,
