iteration,loss,gradient_norm,velocity_norm
0,4668321542203225.0,246425103.084826,276174019.8738738
10,1.4056090551809046e+34,4.269839758328445e+17,4.781877620866748e+17
20,4.374209766137511e+52,7.53171568478586e+26,8.434576007176616e+26
30,1.3637230146192094e+71,1.329858058716699e+36,1.4892708048694467e+36
40,4.252023452584595e+89,2.3482261853987222e+45,2.6297124439907175e+45
50,1.325767771522938e+108,4.146444188283403e+54,4.643486167511871e+54
60,4.133704136921398e+126,7.321697635333574e+63,8.199363149900015e+63
70,1.2888765685050604e+145,1.2928488672560307e+73,1.4478250657623647e+73
80,4.018678539223248e+163,2.2828833934219067e+82,2.5565368721098568e+82
90,1.2530119327942579e+182,4.031064047844046e+91,4.514275193312312e+91
100,3.9068536793992656e+200,7.117962049513974e+100,7.97120540028255e+100
110,1.2181452764140486e+219,1.256873697291475e+110,1.4075374852563313e+110
120,3.798140489044474e+237,2.2193592491140314e+119,2.4853979704644196e+119
130,1.18424882925176e+256,3.9188945454443196e+128,4.3886597240170144e+128
140,3.6924523819733376e+274,6.919895670087684e+137,7.7493964355375e+137
150,1.151295593997338e+293,1.2218995823851427e+147,1.3683709581419452e+147
160,inf,inf,inf
170,inf,inf,inf
180,inf,inf,inf
190,inf,inf,inf
200,inf,inf,inf
210,inf,inf,inf
220,inf,inf,inf
230,inf,inf,inf
240,inf,inf,inf
250,inf,inf,inf
260,inf,inf,inf
270,inf,inf,inf
280,inf,inf,inf
290,inf,inf,inf
300,inf,inf,inf
310,inf,inf,inf
320,inf,inf,inf
330,,,
340,,,
350,,,
360,,,
370,,,
380,,,
390,,,
400,,,
410,,,
420,,,
430,,,
440,,,
450,,,
460,,,
470,,,
480,,,
490,,,
500,,,
510,,,
520,,,
530,,,
540,,,
550,,,
560,,,
570,,,
580,,,
590,,,
600,,,
610,,,
620,,,
630,,,
640,,,
650,,,
660,,,
670,,,
680,,,
690,,,
700,,,
710,,,
720,,,
730,,,
740,,,
750,,,
760,,,
770,,,
780,,,
790,,,
800,,,
810,,,
820,,,
830,,,
840,,,
850,,,
860,,,
870,,,
880,,,
890,,,
900,,,
910,,,
920,,,
930,,,
940,,,
950,,,
960,,,
970,,,
980,,,
990,,,
