iteration,loss,gradient_norm
0,40906506112.947136,234420.66175517003
10,1.3905319846328467e+22,136562527703.02861
20,4.7532781832256395e+33,7.984214027273989e+16
30,1.6249592503450536e+45,4.668277968727745e+22
40,5.555105100539161e+56,2.72949063992663e+28
50,1.899074901734922e+68,1.595903092821529e+34
60,6.492200270219812e+79,9.331069485697003e+39
70,2.2194313826342135e+91,5.4557734826634483e+45
80,7.587374783888443e+102,3.189930622610895e+51
90,2.593829057371415e+114,1.8651172761122608e+57
100,8.867295171909608e+125,1.09051351430496e+63
110,3.0313841786264093e+137,6.376112323406392e+68
120,1.0363126365226806e+149,3.728042598959097e+74
130,3.542750827126174e+160,2.1797454176950008e+80
140,1.2111290532187293e+172,1.2744731209050444e+86
150,4.1403803290912454e+183,7.451703867450085e+91
160,1.415435392617054e+195,4.3569291197556504e+97
170,4.8388244350313715e+206,2.547448434913523e+103
180,1.6542063336260952e+218,1.4894650223061952e+109
190,5.655089642017452e+229,8.70873781886346e+114
200,1.933255737762252e+241,5.091903016310746e+120
210,6.609051286863988e+252,2.977179571459202e+126
220,2.259378211542658e+264,1.7407240814134712e+132
230,7.72393749302547e+275,1.0177821844073789e+138
240,2.640514549152463e+287,5.950860253831379e+143
250,9.026894754885912e+298,3.4794024009419764e+149
260,inf,inf
270,inf,inf
280,inf,inf
290,inf,inf
300,inf,inf
310,inf,inf
320,inf,inf
330,inf,inf
340,inf,inf
350,inf,inf
360,inf,inf
370,inf,inf
380,inf,inf
390,inf,inf
400,inf,inf
410,inf,inf
420,inf,inf
430,inf,inf
440,inf,inf
450,inf,inf
460,inf,inf
470,inf,inf
480,inf,inf
490,inf,inf
500,inf,inf
510,inf,inf
520,inf,inf
530,,
540,,
550,,
560,,
570,,
580,,
590,,
600,,
610,,
620,,
630,,
640,,
650,,
660,,
670,,
680,,
690,,
700,,
710,,
720,,
730,,
740,,
750,,
760,,
770,,
780,,
790,,
800,,
810,,
820,,
830,,
840,,
850,,
860,,
870,,
880,,
890,,
900,,
910,,
920,,
930,,
940,,
950,,
960,,
970,,
980,,
990,,
