iteration,loss,gradient_norm,step_size
0,51.27145234811625,10.252986449063085,9.10977688048553
1,0.5155377694483475,1.0019771503282016,0.9051101273208204
2,0.017942709249190333,0.09951128850370891,0.09532960155539637
3,0.012900959465307347,0.010377428259927777,0.021285773236285593
4,0.012803727345291938,0.0021671267012624493,0.013016098294568615
5,0.012782569009262973,0.0013022407650371483,0.009406292458451069
6,0.012772117314281652,0.0009406382095631409,0.007102868552081037
7,0.012766279386175139,0.0007102869984456352,0.0054908853012165994
8,0.012762830559454534,0.0005490885343192326,0.004309239735811297
9,0.01276072280361014,0.00043092397402620495,0.0034225428766276665
10,0.012759401770103559,0.00034225428779403096,0.0027490862260841557
11,0.012758554782018454,0.0002749086226663107,0.002233814263433713
12,0.012757999144386516,0.0002233814263738834,0.0018371633068606297
13,0.01275762582143806,0.00018371633070435374,0.001529779009136841
14,0.012757368723640172,0.00015297790092591376,0.0012895955900237616
15,0.012757187229358848,0.00012895955901133158,0.0010999837157004528
16,0.012757056005468833,0.00010999837157707984,0.0009484517378708156
17,0.012756958996713927,9.484517379292129e-05,0.0008256730211683466
18,0.012756885841593384,8.256730212187581e-05,0.0007247302682331086
19,0.012756829716772956,7.247302682779188e-05,0.0006405209616406014
20,0.012756786029295211,6.40520961681225e-05,0.000569291972939049
21,0.012756751615449263,5.692919729764244e-05,0.0005082809744351987
22,0.012756724244536898,5.08280974469898e-05,0.00045544562998121386
23,0.012756702307511626,4.554456300136427e-05,0.0004092631150550363
24,0.01275668461868454,4.092631150854286e-05,0.0003685842468163872
25,0.012756670287276194,3.685842468449234e-05,0.00033252877182356194
26,0.012756658632621506,3.325287718503455e-05,0.00030041089969541114
27,0.012756649127029125,3.0041089972054152e-05,0.0002716866275579998
28,0.012756641356433954,2.7168662758152336e-05,0.00024591653599043503
29,0.01275663499269958,2.459165360124289e-05,0.00022273946081980092
30,0.012756629773695983,2.227394608403176e-05,0.0002018537648354026
31,0.012756625488674029,2.0185376485447826e-05,0.0001830039069933139
32,0.012756621967325537,1.830039070110044e-05,0.00016597070608693345
33,0.012756619071462858,1.6597070610333255e-05,0.00015056418912291617
34,0.012756616688598826,1.5056418913805406e-05,0.00013661825813024502
35,0.01275661472693216,1.3661825814418816e-05,0.00012398664633858658
36,0.012756613111390603,1.2398664635141171e-05,0.0001125397976638493
37,0.012756611780482374,1.125397976756292e-05,0.00010216241519285525
38,0.012756610683773735,1.0216241520363711e-05,9.275150096587122e-05
39,0.012756609779856959,9.275150097573856e-06,8.421476195767365e-05
40,0.012756609034706082,8.421476196667972e-06,7.646929339335627e-05
41,0.012756608420341648,7.646929340156396e-06,6.944047561314011e-05
42,0.012756607913743225,6.944047562061777e-06,6.306103815839556e-05
43,0.01275660749596173,6.306103816519358e-06,5.727025699194452e-05
44,0.012756607151393408,5.727025699812335e-06,5.20132594191779e-05
45,0.01275660686718516,5.201325942477643e-06,4.7240417451071935e-05
46,0.012756606632746881,4.724041745616131e-06,4.290681480214988e-05
47,0.012756606439351056,4.290681480675223e-06,3.897177596194151e-05
48,0.012756606279803864,3.897177596611833e-06,3.5398448174376526e-05
49,0.01275660614817472,3.5398448178143936e-06,3.2153428949434426e-05
50,0.012756606039573777,3.215342895283794e-06,2.9206433088347646e-05
51,0.01275660594996885,2.9206433091434373e-06,2.6529994244693092e-05
52,0.01275660587603465,2.652999424747154e-06,2.4099196855124186e-05
53,0.012756605815028629,2.409919685763255e-06,2.189143491387092e-05
54,0.012756605764688672,2.1891434916133753e-06,1.988619457727361e-05
55,0.012756605723148842,1.9886194579319836e-06,1.8064858000514754e-05
56,0.012756605688869873,1.8064858002356373e-06,1.6410526149591364e-05
57,0.01275660566058196,1.6410526151245778e-06,1.4907858615121105e-05
58,0.012756605637237486,1.490785861661897e-06,1.354292869239445e-05
59,0.012756605617972164,1.3542928693739839e-06,1.2303092193912671e-05
60,0.012756605602072884,1.2303092195125909e-06,1.1176868633484654e-05
61,0.01275660558895128,1.1176868634575373e-06,1.0153833569637592e-05
62,0.012756605578121872,1.0153833570625258e-06,9.22452102575256e-06
63,0.01275660556918408,9.224521026629315e-07,8.380335017241851e-06
64,0.012756605561807358,8.380335018039879e-07,7.61346931575969e-06
65,0.012756605555718949,7.613469316474642e-07,6.916834667859193e-06
66,0.012756605550693769,6.916834668503156e-07,6.283992763865396e-06
67,0.012756605546546078,6.283992764443994e-07,5.709096321566195e-06
68,0.012756605543122598,5.709096322085085e-07,5.1868347114699325e-06
69,0.01275660554029683,5.186834711937644e-07,4.712384605590768e-06
70,0.012756605537964384,4.712384606010169e-07,4.2813651813878505e-06
71,0.012756605536039113,4.281365181770351e-07,3.889797457125403e-06
72,0.012756605534449903,3.889797457464417e-07,3.534067374973325e-06
73,0.012756605533138085,3.5340673752696827e-07,3.210892284489455e-06
74,0.012756605532055217,3.210892284775377e-07,2.917290511626029e-06
75,0.012756605531161333,2.91729051187527e-07,2.6505537278300237e-06
76,0.012756605530423442,2.6505537280431566e-07,2.4082218608258035e-06
77,0.01275660552981431,2.4082218610320233e-07,2.18806031224437e-06
78,0.012756605529311462,2.1880603124178438e-07,1.9880392693301437e-06
79,0.012756605528896346,1.9880392694938667e-07,1.8063149179541625e-06
80,0.012756605528553656,1.8063149181022477e-07,1.641212381445274e-06
81,0.012756605528270756,1.641212381572261e-07,1.4912102265923512e-06
82,0.0127566055280372,1.4912102267087784e-07,1.3549263924680206e-06
83,0.012756605527844384,1.3549263925680194e-07,1.2311054111375094e-06
84,0.0127566055276852,1.2311054112367314e-07,1.1186068015420617e-06
85,0.012756605527553781,1.1186068016276265e-07,1.0163945285444855e-06
86,0.012756605527445281,1.0163945286171585e-07,9.235274293899223e-07
87,0.012756605527355701,9.235274294598328e-08,8.391505185511618e-07
88,0.012756605527281745,8.391505186113761e-08,7.624870902761203e-07
89,0.012756605527220684,7.624870903309544e-08,6.928315456301383e-07
90,0.01275660552717027,6.928315456782498e-08,6.295428774026394e-07
91,0.012756605527128647,6.295428774505185e-08,5.720387525364398e-07
92,0.012756605527094277,5.720387525746782e-08,5.197901371585331e-07
93,0.012756605527065902,5.197901371918309e-08,4.7231641448475187e-07
94,0.012756605527042471,4.723164145142056e-08,4.291809502676068e-07
95,0.012756605527023127,4.2918095029961754e-08,3.899870647817834e-07
96,0.012756605527007152,3.899870648114816e-08,3.543743739962336e-07
97,0.012756605526993967,3.543743740133137e-08,3.2201546610295726e-07
98,0.012756605526983072,3.2201546611885636e-08,2.9261288263653213e-07
99,0.012756605526974085,2.9261288266190277e-08,2.658963761798037e-07
