iteration,loss,gradient_norm,step_size
0,51.373252649722424,1.6615883082355272,1.4272476927059634e-05
1,8.846811953435575e+17,307464.5987281574,1.4272476927059634e-05
2,4.757859945864029e+18,411512.2392877075,2.2300745198530677e-05
3,4.055193611014276e+18,1935426.3844366563,0.014411518807585602
4,3.162318102159885e+18,1221655.5301241963,0.014411518807585602
5,3.1106347427443277e+18,2423587.5853160736,1.4272476927059634e-05
6,3.116961048571391e+18,1858642.6502939637,1.4272476927059634e-05
7,3.1234086059046257e+18,1904792.3054592502,1.4272476927059634e-05
8,3.1296491017582203e+18,1640300.5292731698,1.4272476927059634e-05
9,3.135929027239458e+18,1780963.1522786876,1.4272476927059634e-05
10,3.142187858420565e+18,1761950.825580836,1.4272476927059634e-05
11,3.14843027589757e+18,1780336.2536642856,1.4272476927059634e-05
12,3.1548538928265605e+18,1919315.9646993345,1.4272476927059634e-05
13,3.161211205734786e+18,1894677.0335138643,1.4272476927059634e-05
14,3.16764718809022e+18,1664477.110222181,1.4272476927059634e-05
15,3.174138045381017e+18,1700392.0036554402,1.4272476927059634e-05
16,3.1805131593646167e+18,1244466.5533897926,1.4272476927059634e-05
17,3.186840178306841e+18,1129856.750494317,1.4272476927059634e-05
18,3.1931377210591524e+18,1778857.8521194987,1.4272476927059634e-05
19,3.1995743061504404e+18,1066404.0607849606,1.4272476927059634e-05
20,3.205852586107348e+18,906980.6270722598,1.4272476927059634e-05
21,3.212267642991567e+18,1039995.777139484,1.4272476927059634e-05
22,3.218691950496889e+18,1264841.4898299952,1.4272476927059634e-05
23,3.2249466011999063e+18,1677645.523652936,1.4272476927059634e-05
24,3.2312518555828004e+18,771497.1444997438,1.4272476927059634e-05
25,3.2376434289426463e+18,1428985.5233717056,1.4272476927059634e-05
26,3.244079952821466e+18,1134936.8400628492,1.4272476927059634e-05
27,3.250261868647226e+18,1002169.5953046805,1.4272476927059634e-05
28,3.256532039486734e+18,747139.2310956027,1.4272476927059634e-05
29,3.262923485942337e+18,890611.2820889931,1.4272476927059634e-05
30,3.2690786358280515e+18,1329185.706459251,1.4272476927059634e-05
31,3.275435240681577e+18,1663714.9951190127,1.4272476927059634e-05
32,3.2818720271050486e+18,1619854.330592801,1.4272476927059634e-05
33,3.28817753522282e+18,1892068.6725811,1.4272476927059634e-05
34,3.2943031799726034e+18,2463765.5857859375,1.4272476927059634e-05
35,3.3005238961514516e+18,2363853.73780099,1.4272476927059634e-05
36,3.3069598830377636e+18,1963012.4793084208,1.4272476927059634e-05
37,3.3134016848451973e+18,1450673.8519592804,1.4272476927059634e-05
38,3.319877256568516e+18,1783548.4820256173,1.4272476927059634e-05
39,3.3261109049215114e+18,1541708.803497817,1.4272476927059634e-05
40,3.332503177758617e+18,1996977.6887359286,1.4272476927059634e-05
41,3.339056818407648e+18,1564694.8062664433,1.4272476927059634e-05
42,3.3454542894161367e+18,2064724.5114474685,1.4272476927059634e-05
43,3.3518849564215107e+18,2258744.109354918,1.4272476927059634e-05
44,3.3579572131261496e+18,2438305.171027552,1.4272476927059634e-05
45,3.364319568888056e+18,2205224.0927574993,1.4272476927059634e-05
46,3.3705142797167217e+18,2776446.371841815,1.4272476927059634e-05
47,3.376633972680953e+18,2799579.2294785036,1.4272476927059634e-05
48,3.3830107482943196e+18,2304148.323744994,1.4272476927059634e-05
49,3.389350257643181e+18,2908521.616689364,1.4272476927059634e-05
50,3.3957254347704796e+18,2252294.2045747787,1.4272476927059634e-05
51,3.401877170553687e+18,2110409.591270312,1.4272476927059634e-05
52,3.4084564104826875e+18,1550428.8005340223,1.4272476927059634e-05
53,3.415050858586674e+18,1596436.9621200387,1.4272476927059634e-05
54,3.4213477384736553e+18,1827233.7867151042,1.4272476927059634e-05
55,3.427701148122093e+18,2391513.3526266306,1.4272476927059634e-05
