iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
0,0.027729788921807035,0.2684756230624568,1.0,1,11.083599342903248
10,0.012823659976467002,0.0034442201759374695,0.2621440000000001,7,10.817269589215282
20,0.012760910719564809,0.0008380621577590153,1.0,1,21.47041382267763
30,0.012754975111487566,0.0002706235503664958,0.32768000000000014,6,12.302886530272044
40,0.012754398394634303,7.516863143984703e-05,1.0,1,15.11314491297393
50,0.012754375607998926,2.4666616219888204e-05,0.8,2,12.244275020039082
60,0.012754372202896547,2.0331812699884463e-05,1.0,1,13.479912844396905
70,0.012754370646708259,1.926407401957417e-05,1.0,1,11.406563803147646
80,0.012754369546709898,1.825891332815498e-05,1.0,1,12.758235338676426
90,0.012754368657433832,1.713513959662918e-05,1.0,1,11.11135701285301
100,0.012754367913943038,1.6003255603073676e-05,1.0,1,10.731057520925495
110,0.012754367285548277,1.492768647530555e-05,1.0,1,16.280723064802917
120,0.012754366751205259,1.3930287417146099e-05,1.0,1,45.24219737807682
130,0.01275436629462849,1.3013266547395367e-05,1.0,1,66.56753456295667
140,0.012754365902802985,1.2171546015355121e-05,1.0,1,86.71648685045878
150,0.012754365565207905,1.1398028573706682e-05,1.0,1,95.99046688715882
160,0.012754365273277894,1.0685604287736835e-05,1.0,1,118.5990000719232
170,0.012754365019996102,1.0027817765657688e-05,1.0,1,133.11921976277526
180,0.012754364799579618,9.419017947335779e-06,1.0,1,156.55978418204955
