iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
0,0.016690724792667276,0.08527780318442212,1.0,1,
10,0.012294422251035593,0.018904579758923592,0.8,2,
20,0.012050120294833011,0.004799134166313021,1.0,1,
30,0.01197539328218822,0.0026240338894647475,1.0,1,
40,0.011952952283426717,0.0014756359845101233,1.0,1,
50,0.011948739112750887,0.000973660631217311,0.6400000000000001,3,
60,0.011947147089445257,0.0006535617977206536,1.0,1,
70,0.011946434802285442,0.00026027183326320867,1.0,1,
80,0.011946066779156906,0.0002704378536143237,1.0,1,
90,0.011945946615758776,0.00013373050913758898,1.0,1,
100,0.011945933173570358,2.6323818266262113e-05,0.8,2,
110,0.01194593114168973,2.5246484551156325e-05,1.0,1,
120,0.011945928656623628,1.9498211670308063e-05,1.0,1,
130,0.011945927669576114,1.461743011677043e-05,1.0,1,
140,0.011945926176182571,2.1102427297841894e-05,1.0,1,
150,0.011945923214138223,2.735264623020683e-05,1.0,1,
160,0.01194591841835792,2.5841781186878523e-05,1.0,1,
170,0.011945907099842317,7.752475443901468e-05,1.0,1,
180,0.011945881528478784,0.00026373685697711247,1.0,1,
190,0.011945865624914918,5.471198553540191e-05,1.0,1,
200,0.01194584662555669,5.199626060713431e-05,1.0,1,
210,0.011945816096598554,0.00010512283903077937,1.0,1,
220,0.011945780966998523,0.0002753941991892456,1.0,1,
230,0.01194572104203418,0.0004881961664084193,1.0,1,
240,0.011945642618328187,0.00017241407976235256,1.0,1,
250,0.011945579734041542,6.706203421668185e-05,1.0,1,
260,0.011945563545756111,6.751811364938823e-05,1.0,1,
270,0.011945548936399826,0.00012834295672233274,1.0,1,
280,0.011945541352388804,3.292792029197347e-05,1.0,1,
290,0.011945538981725609,8.11925402015876e-06,1.0,1,
