iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
0,0.01678065195882646,0.08634808621456287,1.0,1,
10,0.012240969921125689,0.011191680267993272,1.0,1,
20,0.012018499411685698,0.0032074078542395313,1.0,1,
30,0.011954705307268583,0.004441685180380819,1.0,1,
40,0.011948647454015202,0.0007199099374923178,1.0,1,
50,0.011946833545875998,0.0004016256561538802,0.6400000000000001,3,
60,0.011946194882312855,0.0005112690383730523,1.0,1,
70,0.011946002261972599,0.00020048678949671458,1.0,1,
80,0.011945989220675348,3.0477338839544232e-05,1.0,1,
90,0.011945986233575179,1.1502564817280389e-05,1.0,1,
100,0.011945985130192485,1.4421028244756141e-05,1.0,1,
110,0.011945981473852342,3.117326934054789e-05,1.0,1,
120,0.011945970647346102,8.605054791506917e-05,1.0,1,
130,0.011945928432781852,0.00041220029109359285,1.0,1,
140,0.011945863705082261,0.00010490133285609707,0.40960000000000013,5,
150,0.011945729878336888,0.0008759629797338011,1.0,1,
160,0.01194554692948982,7.220051085531854e-05,1.0,1,
170,0.011945519632830784,9.082251884983974e-05,1.0,1,
180,0.011945515593014546,1.2948414244221806e-05,1.0,1,
190,0.011945514856561012,4.724715789840214e-06,0.8,2,
