iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
0,0.01724418325220052,0.08062897412553062,1.0,1,
10,0.01300388628471661,0.011990491456826714,0.8,2,
20,0.012811405266626925,0.003978364645649322,1.0,1,
30,0.012773228016871613,0.003028416136629845,1.0,1,
40,0.012761129825063118,0.0013010082929802093,1.0,1,
50,0.012757514630280953,0.000748539189913051,0.8,2,
60,0.012755020491873362,0.00034417484057711935,1.0,1,
70,0.012754542955636411,0.00020991228515897942,1.0,1,
80,0.012754390603103554,0.00016569045368055612,1.0,1,
90,0.012754375801830534,0.00015560099143777667,1.0,1,
100,0.012754366111226293,5.047284884334185e-05,1.0,1,
110,0.012754364005492593,1.6553827551250917e-05,1.0,1,
120,0.01275436348255784,1.0553132264002473e-05,1.0,1,
130,0.01275436321687164,5.508954691767475e-06,1.0,1,
