iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
0,0.1168608399757407,0.5632589690783688,1.0,1,8.864757208467584
10,0.19252217672520944,0.6920468887059008,1.0,1,9.360543968883952
20,0.34285443998367926,0.8835897331174108,1.0,1,9.547245830640595
30,9104.651099025885,201.76430342477448,1.0,1,37.00189824762345
40,157960.98924098472,856.4300620514501,0.5120000000000001,4,176.96003074897723
50,164325.90954700933,868.4304626045425,0.5120000000000001,4,26373.0483614924
60,165518.2134276636,871.0158078029463,0.5120000000000001,4,225480.5393008236
70,166291.70316076954,872.2080735325117,0.5120000000000001,4,333582.1343403424
80,170610.59356981434,880.652837206113,0.5120000000000001,4,453527.5728373951
90,170992.3758849249,881.6148646166539,0.5120000000000001,4,279622.49664328416
100,170761.61881087656,881.5190428850766,0.5120000000000001,4,195045.64542638793
110,178905.19230100483,892.2300547749031,0.5120000000000001,4,103512.22854021234
120,27782257.091119613,7547.239714517968,0.5120000000000001,4,42095.31396424109
130,49432733095.13777,336740.9577120051,0.6400000000000001,3,206364.99245322635
140,2.023612349440292e+16,201196034.9716282,0.6400000000000001,3,1106936.990015401
150,1.2019228966185935e+22,155029146231.95206,0.6400000000000001,3,727694.0903918105
160,7.289146884174608e+27,120705490805924.34,0.6400000000000001,3,362935.4014228707
170,4.684503610855384e+33,9.677534962554965e+16,0.6400000000000001,3,457105.4591019783
180,3.104320154812271e+39,7.882822989950725e+19,0.6400000000000001,3,3053450.2900152877
190,1.8337802855946387e+45,6.0877417271534696e+22,0.6400000000000001,3,373127.16746329574
200,2.628278752210674e+57,8.28869580427744e+28,0.6400000000000001,3,16187942.673528178
210,5.112648565867265e+62,3.2062219862793756e+31,0.6400000000000001,3,16106066.57040302
220,1.5763137641496724e+69,6.4249434786722365e+34,0.6400000000000001,3,22246872.120782096
230,6.038828621288527e+75,1.1185285341851894e+38,0.6400000000000001,3,30566503.979957607
240,2.8251929399430726e+81,7.559886221851225e+40,0.6400000000000001,3,15588910.233870048
250,3.800074374286118e+86,2.855925179246921e+43,0.6400000000000001,3,15502222.454738552
260,7.198418690024391e+91,1.226879555994879e+46,0.6400000000000001,3,16369421.85230065
270,1.1802635804194307e+100,1.5496488198525981e+50,0.6400000000000001,3,16872759.979955383
280,2.3189863274376417e+107,6.888775023488359e+53,0.6400000000000001,3,18248648.989519008
290,2.9791988060443914e+113,8.011738901340147e+56,0.6400000000000001,3,18633673.59177938
300,9.613681895365882e+118,4.464089092944428e+59,0.6400000000000001,3,19185954.848774973
310,6.806182079664711e+133,1.1738379890726238e+67,0.6400000000000001,3,18997201.542333033
320,6.605721895680004e+147,1.153255221407102e+74,0.6400000000000001,3,18327314.63847628
330,2.1827205292067365e+161,6.617599289010303e+80,0.8,2,137492519.0608631
340,4.330965063901212e+174,2.9447332547998504e+87,0.8,2,238844042.2271037
350,7.157434044972596e+187,1.1965152654706038e+94,0.8,2,113919784.17277072
360,1.1535665023782294e+201,4.801495643723111e+100,0.8,2,51032681.38229509
370,2.242548301414271e+214,2.112875798095431e+107,0.8,2,22671524.51858245
380,9.030181146522944e+227,1.3397698629791853e+114,0.8,2,20186740.871748034
390,9.52430157146695e+241,1.3767173722588593e+121,0.8,2,20267790.794069387
400,2.248033008487904e+256,2.1168040744041734e+128,0.8,2,20326951.194099348
410,9.22418278898133e+270,4.2909783269596164e+135,0.8,2,20370688.18297636
420,5.220458753179151e+285,1.0213738606053572e+143,0.8,2,20412353.68574568
430,3.412248038863106e+300,2.6121472134693427e+150,0.8,2,20474415.352137472
440,inf,inf,0.8,2,20633250.68578391
