iteration,loss,gradient_norm,step_size,line_search_iter,condition_number
0,0.2274361092840603,0.7349836234179286,1.0,1,8.829472868749658
10,5.681708281834486,3.566351450516038,1.0,1,9.393916681570772
20,119.0475144363039,15.468848848442697,1.0,1,9.575608304927727
30,6817.68761740473,118.86037760917849,1.0,1,9.567154710255533
40,1183785821.4039557,63325.85260322495,0.6400000000000001,3,35.04889746523533
50,1335350735050.148,1789687.2122115046,0.5120000000000001,4,3014.790308694897
60,410199615946550.94,42775208.1810213,0.6400000000000001,3,13444.487103660891
70,1.0067688795579748e+16,151190895.72460315,0.6400000000000001,3,8612.754188333627
80,4.804202166817183e+18,3176383728.722249,0.6400000000000001,3,5702.498061320911
90,2.592838194357656e+21,72935696180.23651,0.8,2,6033.1322799612135
100,2.073317652330198e+24,2095624429535.5457,0.8,2,6659.283621630242
110,4.1832597336103595e+26,31210557938796.508,0.6400000000000001,3,10188.869105324617
120,1.8842521724663068e+29,653198081330685.4,0.6400000000000001,3,39262.60529483507
130,5.348338690411279e+31,1.0404178214363302e+16,0.8,2,6762.6591832047025
140,2.7920106502088666e+34,2.373501850085736e+17,0.8,2,20556.118066161947
150,1.4622282464197975e+37,5.419795260827495e+18,1.0,1,17866.95517979723
160,6.558175201640922e+39,1.147289335961625e+20,1.0,1,28467.795552481588
170,2.920100009748623e+42,2.4162707234828384e+21,0.8,2,11624.748213808401
180,1.3267236058173721e+45,5.151063891568717e+22,1.0,1,11124.21489956445
190,6.054494243967115e+47,1.1004696954818305e+24,0.8,2,11388.025478270592
200,2.74759923108272e+50,2.3445628850275105e+25,0.6400000000000001,3,11487.154081751021
210,1.2530457678657091e+53,5.006678012560874e+26,0.6400000000000001,3,11797.005260295817
220,5.697311732887805e+55,1.0675883355227986e+28,0.6400000000000001,3,13163.20376613623
230,2.55836686025419e+58,2.262324507163179e+29,0.6400000000000001,3,17079.54109337908
240,1.1314362555128216e+61,4.7589509268125084e+30,0.6400000000000001,3,22778.386329789093
250,5.442047043820677e+63,1.0469126391861521e+32,0.6400000000000001,3,26005.332814555364
260,6.047977697965592e+66,3.591916833511652e+33,0.8,2,28205.810523788303
270,1.7776167070512303e+69,5.977462139302972e+34,0.8,2,29771.38497928422
280,7.782103432480871e+71,1.2476845118214573e+36,0.8,2,31053.530213246497
290,3.4950111455869437e+74,2.6440472554071018e+37,0.8,2,32324.009413634365
300,1.5591082043881291e+77,5.5844906585384994e+38,0.8,2,34148.37899966489
310,6.904006576268589e+79,1.1751805394885283e+40,1.0,1,12005.28869551126
320,3.0290840337689256e+82,2.4617900109090244e+41,1.0,1,11043.169899903472
330,1.3089169585464094e+85,5.117696031047639e+42,1.0,1,10597.122534332953
340,5.904650485847321e+87,1.0870242797964603e+44,1.0,1,11346.058997844852
350,2.673080758823631e+90,2.3128812254816455e+45,1.0,1,18932.558326348997
360,1.18028069178021e+93,4.859251567516744e+46,1.0,1,230943.65321562497
370,5.153338662454436e+95,1.0153127072569678e+48,1.0,1,20381.10199268148
380,2.2303273497219738e+98,2.1122027313454564e+49,0.2097152000000001,8,11314.827703261912
390,9.570520164046637e+100,4.375413174154732e+50,1.0,1,19182.56609652837
400,4.071132243236076e+103,9.024229874247516e+51,1.0,1,44509.96052026456
410,1.7161653351747712e+106,1.8528225448113567e+53,1.0,1,29755.847356135266
420,7.166124949009927e+108,3.786155053156248e+54,0.10737418240000006,11,11449.404722596202
430,2.9627168850696305e+111,7.698451146350677e+55,1.0,1,27571.997407791187
