epoch,learning_rate
0,0.01
1,0.0099
2,0.0098
3,0.0097
4,0.0096
5,0.0095
6,0.0094
7,0.0093
8,0.0092
9,0.0091
10,0.009000000000000001
11,0.0089
12,0.0088
13,0.0087
14,0.0086
15,0.0085
16,0.0084
17,0.0083
18,0.0082
19,0.008100000000000001
20,0.008
21,0.0079
22,0.0078000000000000005
23,0.0077
24,0.0076
25,0.0075
26,0.0074
27,0.0073
28,0.0072
29,0.0070999999999999995
30,0.006999999999999999
31,0.0069
32,0.0068
33,0.006699999999999999
34,0.006599999999999999
35,0.006500000000000001
36,0.0064
37,0.0063
38,0.0062
39,0.0061
40,0.006
41,0.005900000000000001
42,0.0058000000000000005
43,0.005700000000000001
44,0.005600000000000001
45,0.0055000000000000005
46,0.0054
47,0.0053
48,0.005200000000000001
49,0.0051
50,0.005
51,0.0049
52,0.0048
53,0.0047
54,0.0046
55,0.0045
56,0.004399999999999999
57,0.004300000000000001
58,0.004200000000000001
59,0.0041
60,0.004
61,0.0039000000000000003
62,0.0038
63,0.0037
64,0.0036
65,0.0034999999999999996
66,0.0034
67,0.0032999999999999995
68,0.0031999999999999997
69,0.0031000000000000008
70,0.0030000000000000005
71,0.0029000000000000002
72,0.0028000000000000004
73,0.0027
74,0.0026000000000000003
75,0.0025
76,0.0024
77,0.0023
78,0.0021999999999999997
79,0.0021
80,0.0019999999999999996
81,0.0018999999999999996
82,0.0018000000000000006
83,0.0017000000000000003
84,0.0016000000000000003
85,0.0015000000000000002
86,0.0014000000000000002
87,0.0013000000000000002
88,0.0012
89,0.0010999999999999998
90,0.0009999999999999998
91,0.0008999999999999998
92,0.0007999999999999996
93,0.0006999999999999996
94,0.0006000000000000006
95,0.0005000000000000004
96,0.00040000000000000034
97,0.0003000000000000003
98,0.00020000000000000017
99,0.00010000000000000009
