epoch,learning_rate
0,0.001
1,0.0005
2,0.0003333333333333333
3,0.00025
4,0.0002
5,0.00016666666666666666
6,0.00014285714285714287
7,0.000125
8,0.00011111111111111112
9,0.0001
10,9.090909090909092e-05
11,8.333333333333333e-05
12,7.692307692307693e-05
13,7.142857142857143e-05
14,6.666666666666667e-05
15,6.25e-05
16,5.882352941176471e-05
17,5.555555555555556e-05
18,5.2631578947368424e-05
19,5e-05
20,4.761904761904762e-05
21,4.545454545454546e-05
22,4.347826086956522e-05
23,4.1666666666666665e-05
24,4e-05
25,3.846153846153846e-05
26,3.7037037037037037e-05
27,3.571428571428572e-05
28,3.4482758620689657e-05
29,3.3333333333333335e-05
30,3.2258064516129034e-05
31,3.125e-05
32,3.0303030303030302e-05
33,2.9411764705882354e-05
34,2.857142857142857e-05
35,2.777777777777778e-05
36,2.7027027027027027e-05
37,2.6315789473684212e-05
38,2.5641025641025643e-05
39,2.5e-05
40,2.4390243902439026e-05
41,2.380952380952381e-05
42,2.3255813953488374e-05
43,2.272727272727273e-05
44,2.2222222222222223e-05
45,2.173913043478261e-05
46,2.1276595744680852e-05
47,2.0833333333333333e-05
48,2.0408163265306123e-05
49,2e-05
50,1.9607843137254903e-05
51,1.923076923076923e-05
52,1.8867924528301888e-05
53,1.8518518518518518e-05
54,1.8181818181818182e-05
55,1.785714285714286e-05
56,1.7543859649122806e-05
57,1.7241379310344828e-05
58,1.694915254237288e-05
59,1.6666666666666667e-05
60,1.639344262295082e-05
61,1.6129032258064517e-05
62,1.5873015873015872e-05
63,1.5625e-05
64,1.5384615384615384e-05
65,1.5151515151515151e-05
66,1.4925373134328359e-05
67,1.4705882352941177e-05
68,1.4492753623188407e-05
69,1.4285714285714285e-05
70,1.4084507042253522e-05
71,1.388888888888889e-05
72,1.3698630136986302e-05
73,1.3513513513513513e-05
74,1.3333333333333333e-05
75,1.3157894736842106e-05
76,1.2987012987012988e-05
77,1.2820512820512822e-05
78,1.2658227848101267e-05
79,1.25e-05
80,1.234567901234568e-05
81,1.2195121951219513e-05
82,1.2048192771084337e-05
83,1.1904761904761905e-05
84,1.1764705882352942e-05
85,1.1627906976744187e-05
86,1.1494252873563218e-05
87,1.1363636363636365e-05
88,1.1235955056179776e-05
89,1.1111111111111112e-05
90,1.0989010989010989e-05
91,1.0869565217391305e-05
92,1.0752688172043012e-05
93,1.0638297872340426e-05
94,1.0526315789473684e-05
95,1.0416666666666666e-05
96,1.0309278350515464e-05
97,1.0204081632653061e-05
98,1.0101010101010101e-05
99,1e-05
