epoch,cost
0,1594852916.5895212
1,6.134778926004503e+19
2,2.3720807548649726e+30
3,9.145065293231877e+40
4,3.525924554185483e+51
5,1.3548837386157432e+62
6,5.234962478653519e+72
7,2.0082295902563873e+83
8,7.7173490595911615e+93
9,2.9674166081691297e+104
10,1.1402912982064266e+115
11,4.3840556548528224e+125
12,1.7019820438753662e+136
13,6.541373832838208e+146
14,2.5128334320527213e+157
15,1.0025047470341019e+168
16,3.717779279500563e+178
17,1.429684820892057e+189
18,5.51187439526386e+199
19,2.1181190512295672e+210
20,8.146509787807566e+220
21,3.130625054811249e+231
22,1.2036854027692037e+242
23,4.6380155569374e+252
24,1.7815623784149227e+263
25,6.891236929230534e+273
26,2.6352217850454305e+284
27,1.0128247175028173e+295
28,inf
29,inf
30,inf
31,inf
32,inf
33,inf
34,inf
35,inf
36,inf
37,inf
38,inf
39,inf
40,inf
41,inf
42,inf
43,inf
44,inf
45,inf
46,inf
47,inf
48,inf
49,inf
50,inf
51,inf
52,inf
53,inf
54,inf
55,inf
56,inf
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
