setup_name,algorithm_name,loss_function,full_path,is_library_algorithm,library_name,library_algorithm,learning_rate,momentum,step_size_method,regularization,batch_size,max_iterations,tolerance,learning_rate_schedule,feature_scaling,early_stopping,solver,method,max_iter,max_eval,tolerance_grad,tolerance_change,history_size,line_search_fn,nesterov,weight_decay,final_loss,best_loss,final_gradient_norm,best_gradient_norm,training_time,converged,iterations,best_iteration,result_type,mse,rmse,mae,r2,adjusted_r2,mape,smape,has_ml_metrics,total_operations,function_evaluations,gradient_evaluations,operations_per_iter,convergence_efficiency,operations_to_convergence,peak_memory,memory_efficiency,ops_per_problem_unit,has_complexity_data,gradient_descent_type,momentum_used,acceleration_used,final_velocity_norm,condition_number
113_gd_ols_lr_003,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\113_gd_ols_lr_003,False,Unknown,Unknown,0.03,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953251431588856,0.011953251431588856,0.000999861945615924,0.000999861945615924,122.44794487953186,True,2391,2390,Best,0.023587618563515284,0.15358261152720148,0.11122265038148134,0.931987656467533,0.9318185597317984,1.1244321317500665,1.1226659552060956,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
114_gd_ols_lr_004,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\114_gd_ols_lr_004,False,Unknown,Unknown,0.04,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953254391565957,0.011953254391565957,0.0009999119533605364,0.0009999119533605364,90.61946773529053,True,1793,1792,Best,0.023587621340701383,0.1535826205685441,0.11122265719209172,0.9319876484598177,0.9318185517041738,1.1244321954885739,1.122666017672758,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
115_gd_ols_lr_005,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\115_gd_ols_lr_005,False,Unknown,Unknown,0.05,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953217366800254,0.011953217366800254,0.0009991771865184484,0.0009991771865184484,72.6477415561676,True,1435,1434,Best,0.023587545486105834,0.1535823736178922,0.11122255142934588,0.9319878671783287,0.9318187709664771,1.1244310061021496,1.1226649254207597,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
116_gd_ols_lr_006,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\116_gd_ols_lr_006,False,Unknown,Unknown,0.06,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953200346723283,0.011953200346723283,0.0009988349180401514,0.0009988349180401514,59.89039063453674,True,1196,1195,Best,0.023587508993481696,0.15358225481311863,0.11122250198068105,0.9319879724008582,0.9318188764506177,1.1244304436376977,1.122664410847155,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
117_gd_ols_lr_007,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\117_gd_ols_lr_007,False,Unknown,Unknown,0.07,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953203296145423,0.011953203296145423,0.0009988847907789753,0.0009988847907789753,53.566614627838135,True,1025,1024,Best,0.023587511769138193,0.15358226384950247,0.11122250878728089,0.9319879643975533,0.9318188684274145,1.1244305073699314,1.1226644733008888,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
118_gd_ols_lr_008,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\118_gd_ols_lr_008,False,Unknown,Unknown,0.08,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953186280761051,0.011953186280761051,0.0009985425511747938,0.0009985425511747938,45.34584665298462,True,897,896,Best,0.023587475306688952,0.15358214514288096,0.11122245935552863,0.9319880695330767,0.9318189738243327,1.1244299451427762,1.1226639589354426,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
119_gd_ols_lr_009,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\119_gd_ols_lr_009,False,Unknown,Unknown,0.09,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953209196306037,0.011953209196306037,0.000998984559861285,0.000998984559861285,40.37213492393494,True,797,796,Best,0.02358751732932105,0.15358228195114515,0.1112225224089865,0.9319879483653682,0.9318188523553692,1.1244306349371793,1.1226645983020473,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
120_gd_ols_lr_010,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\120_gd_ols_lr_010,False,Unknown,Unknown,0.1,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953232135893652,0.011953232135893652,0.0009994268543177941,0.0009994268543177941,36.42373251914978,True,717,716,Best,0.023587559396512234,0.15358241890435323,0.1112225854973781,0.9319878270691784,0.9318187307576048,1.1244313251163263,1.122665238023221,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
121_gd_ols_lr_011,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\121_gd_ols_lr_011,False,Unknown,Unknown,0.11,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953205107703332,0.011953205107703332,0.0009988881993031873,0.0009988881993031873,33.3136191368103,True,652,651,Best,0.023587503271289546,0.1535822361840377,0.11122250791224289,0.9319879889001795,0.9318188929909608,1.124430449555783,1.1226644349184396,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
122_gd_ols_lr_012,GradientDescentOptimizer - OLS,OLS,data\03_algorithms\gradientdescentoptimizer\122_gd_ols_lr_012,False,Unknown,Unknown,0.12,0,constant,0,0,500000,0,constant,False,False,Unknown,Unknown,0,0,0,0,0,Unknown,False,0,0.011953158153678917,0.011953158153678917,0.0009979577916196156,0.0009979577916196156,30.086461305618286,True,598,597,Best,0.023587408030880257,0.15358192612049198,0.11122237416043025,0.931988263515585,0.9318191682891329,1.1244289489608557,1.1226630558168944,True,6,1,2,0,0,0,63,0,0,True,unknown,False,False,0,0
